REF;NAME;PVP03;PVP04;PVP02
0004712;PIZARRA MAGNÉTICA CERCO DE ALUMINIO 45 X 60 CM BALONCESTO;13.61;14.97;16.33
0004713;PIZARRA MAGNÉTICA CERCO DE ALUMINIO 60 X 90 CM BALONCESTO;18;19.8;21.6
0004723;PIZARRA MAGNÉTICA CERCO DE ALUMINIO 60 X 90 CM FUTBOL SALA / BALONMANO;18;19.8;21.6
0004770;BOTE RESINA 250 GRS BALONES BALONMANO;7.8;8.58;9.36
0004773;PIZARRA NEUTRA SOFTEE WHITE CON SOPORTE 25X35;6.95;7.65;8.34
0004774;PIZARRA ELECTRÓNICA 12' SOFTEE MAGIC;9.95;10.95;11.94
0004775;SOPORTE CON PIZARRA SOFTEE;75;82.5;90
0004776;FUNDA/PIZARRA/MULTIUSOS/MULTIDEPORTE;1.4;1.54;1.68
0004777;PORTA ROTULADORES IMANTADO SOFTEE;1.35;1.49;1.62
0004778;PIZARRA NEUTRA SOFTEE SOFTEE 45X60 CM;3.45;3.8;4.14
0004779;PIZARRA NEUTRA SOFTEE 90X60CM;6.15;6.77;7.38
0004780;BORRADOR SOFTEE CLEAN;0.45;0.5;0.54
0004781;LOTE 3 ROTULADORES MAXI CON BORRADOR;0.89;0.98;1.07
0005001;RECAMBIO GOMA HINCHABLE;1.95;2.15;2.34
0006021;VOLANTES BADMINTON PLÁSTICO 12UDS;0.72;0.79;0.86
0006081;CORDAJE BADMINTON 10 MT;0.44;0.48;0.53
0006100;RAQUETA BADMINTON SOFTEE B500 NEW;2.99;3.29;3.59
0006102;RAQUETA BADMINTON  SOFTEE 'B1000';3.65;4.02;4.38
0006103;RAQUETA BADMINTON SOFTEE 'B2000';4.55;5.01;5.46
0006104;RAQUETA BADMINTON SOFTEE 'B3000';7.45;8.2;8.94
0006105;RAQUETA BADMINTON  SOFTEE 'B500' JUNIOR;2.75;3.03;3.3
0006106;RAQUETA BADMINTON SOFTEE 'B600' JUNIOR;2.8;3.08;3.36
0006107;RAQUETA BADMINTON SOFTEE 'B700' JUNIOR;2.85;3.14;3.42
0006108;RAQUETA BADMINTON SOFTEE 'B800' JUNIOR;2.9;3.19;3.48
0006109;RAQUETA BADMINTON SOFTEE 'B5000';8.5;9.35;10.2
0006110;RAQUETA BADMINTON SOFTEE 'B7000';13;14.3;15.6
0006111;RAQUETA BADMINTON SOFTEE 'B8500';16;17.6;19.2
0006112;RAQUETA BADMINTON SOFTEE 'B9000';19;20.9;22.8
0006113;RAQUETA BADMINTON SOFTEE 'B9500';22;24.2;26.4
0006114;RAQUETA BADMINTON SOFTEE '10K' ROJO/BLANCO;28.95;31.85;34.74
0006115;RAQUETA BÁDMINTON SUPER-K METRÓPOLIS;29;31.9;34.8
0006120;RAQUETA BADMINTON SOFTEE '10K' AZUL/BLANCO;28.95;31.85;34.74
0006150;JUEGO DOS RAQUETAS BADMINTON JUNIOR;4.95;5.45;5.94
0006151;JUEGO DOS RAQUETAS BADMINTON SENIOR;5.5;6.05;6.6
0006406;BOLSA 3 PELOTAS DE TENIS SOFTEE INICIACIÓN DELUXE;0.79;0.79;0.79
0006411;SET MINITENIS/MINIBADMINTON METÁLICO;42.1;46.31;50.52
0006412;BOLSA 3 PELOTAS SOFTEE DE MINITENIS;1.59;1.59;1.59
0006413;BOLSA 3 PELOTAS SOFTEE DE INTROTENIS;1.59;1.59;1.59
0006414;TENIS /PADEL TRAINER  SOFTEE;2.35;2.35;2.35
0006415;BOLSA 3 PELOTAS SOFTEE DE BEACH TENNIS;1.5;1.5;1.5
0006416;LLAVERO PELOTA TENIS/PÁDEL SOFTEE;0.49;0.49;0.49
0006417;SET TRASLADABLE DE RED MULTIDEPORTE;36.9;40.59;44.28
0006418;SET BÁDMINTON TRASLADABLE 3M;19.5;21.45;23.4
0006419;LLAVERO PADEL;0.45;0.45;0.45
0006501;RAQUETA TENIS SOFTEE 'T1000 REAL ATTACK' ALUMINIO;6.9;7.59;8.28
0006550;RAQUETA TENIS SOFTEE 'T500 SWEERPOINT JR 19';6.5;7.15;7.8
0006551;RAQUETA TENIS SOFTEE 'T600 PROTOUCH JR 21';6.5;7.15;7.8
0006552;RAQUETA TENIS SOFTEE 'T700 REVENGE JR 23';6.5;7.15;7.8
0006553;RAQUETA TENIS SOFTEE 'T800 ROWING JR 25';6.5;7.15;7.8
0006560;RAQUETA TENIS SOFTEE T600 MAX 21'';7.09;7.8;8.51
0006561;RAQUETA TENIS SOFTEE T700 MAX 23'';7.09;7.8;8.51
0006562;RAQUETA TENIS SOFTEE T800 MAX 25'';7.09;7.8;8.51
0006563;RAQUETA TENIS SOFTEE T1000 MAX 27'';7.52;8.27;9.02
0006689;CARRO PORTAPELOTAS TENIS / PÁDEL 100 PELOTAS SOFTEE;49;49;56.35
0006696;CESTA PVC PORTAPELOTAS TENIS/PADEL;36.9;40.59;44.28
0006697;CARRO ELEGANCE PORTAPELOTAS TENIS/PADEL;45;49.5;54
0006698;CARRO PORTAPELOTAS TENIS ESTRUCTURAS METÁLICA;12.9;12.9;14.84
0006804;RAQUETA TENIS DE MESA SOFTEE 'P030';0.99;1.09;1.19
0006805;RAQUETA TENIS DE MESA SOFTEE 'P300';3.56;3.92;4.27
0006806;RAQUETA TENIS DE MESA SOFTEE 'P500';4.4;4.84;5.28
0006807;RAQUETA TENIS DE MESA SOFTEE 'P700';5.16;5.68;6.19
0006808;RAQUETA TENIS DE MESA SOFTEE 'P900 PRO';7.16;7.88;8.59
0006810;JUEGO RAQUETAS DE TENIS DE MESA CON PELOTA SOFTEE TEST;2.3;2.53;2.76
0006811;JUEGO RAQUETAS DE TENIS DE MESA CON PELOTA SOFTEE DYNAMIC;7.3;8.03;8.76
0006900;KIT TENIS DE MESA SOFTEE;13.95;15.35;16.74
0006910;KIT ENTRENAMIENTO TENIS DE MESA FLEX;24.75;27.23;29.7
0006911;SOPORTE RED TENIS DE MESA PERFECCIONAMIENTO CON PINZA;4.85;5.34;5.82
0006912;SOPORTE RED TENIS DE MESA COMPETICIÓN CON PINZA;9.95;10.95;11.94
0006913;LANZADOR PELOTAS PING PONG SOFTEE ENERGY;149;163.9;178.8
0006920;SOPORTE RED TENIS DE MESA REGULABLE;4.9;5.39;5.88
0007011;RED TENIS DE MESA;1.15;1.27;1.38
0007012;RED TENIS DE MESA DELUXE;1.8;1.98;2.16
0007013;RED TENIS DE MESA ATACAMA;38.95;42.85;46.74
0007130;TRAINING TENIS DE MESA SOFTEE;11.95;13.15;14.34
0007142;MESA TENIS DE MESA EXTERIOR SILOLI BLANCO/NEGRO*;199;218.9;238.8
0007143;MESA TENIS DE MESA INTERIOR MOJAVE BLANCO/NEGRO*;145;159.5;174
0007144;MESA TENIS DE MESA INTERIOR TABERNAS*;94;103.4;112.8
0007145;MESA TENIS DE MESA EXTERIOR ATACAMA*;234;257.4;280.8
0007146;MESA TENIS DE MESA INTERIOR MOJAVE NEGRO/AZUL*;145;159.5;174
0007147;MESA TENIS DE MESA EXTERIOR SILOLI NEGRO/AZUL*;199;218.9;238.8
0007153;MESA TENIS DE MESA EXTERIOR 'TABARCA'*;621.5;683.65;745.8
0007154;MESA TENIS DE MESA EXTERIOR GARDEN AZUL*;395;395;395
0007160;KIT TABLEROS TENIS DE MESA CON SOPORTE Y RED*;69;75.9;82.8
0007287;RED TENIS DE MESA METALICA ANTIVANDALICA;59;64.9;70.8
0007364;PICA PARA VALLA EXTENSIBLE ROJO/BLANCO;2.95;3.25;3.54
0007381;PIEZA PARA PICA REGULABLE EN ALTURA;1.27;1.4;1.52
0007400;SET 10 FUNDAS NUMERADOS PARA CONO SEMÍRIGIDO;9.6;10.56;11.52
0007431;PANEL DE SEÑALIZACION TRAFICO DE PRIORIDAD Nº 1 (STOP);2.4;2.64;2.88
0007432;PANEL DE SEÑALIZACION TRAFICO DE PRIORIDAD Nº 2 (CEDA);2.4;2.64;2.88
0007433;PANEL DE SEÑALIZACION TRAFICO DE PELIGRO Nº 1 (INTERSECCIÓN GIRATORIA);2.4;2.64;2.88
0007434;PANEL DE SEÑALIZACION TRAFICO DE PELIGRO Nº2 (PEATONES);2.4;2.64;2.88
0007435;PANEL DE SEÑALIZACION TRAFICO DE PELIGRO Nº 3 (INTERSECCIÓN);2.4;2.64;2.88
0007436;PANEL DE SEÑALIZACION TRAFICO DE PELIGRO Nº 4 (NIVEL SIN BARRERAS);2.4;2.64;2.88
0007437;PANEL DE SEÑALIZACION TRAFICO DE PELIGRO Nº 5 (NIVEL CON BARRERAS);2.4;2.64;2.88
0007438;PANEL DE SEÑALIZACION TRAFICO DE PELIGRO Nº 6 (DOS SENTIDOS);2.4;2.64;2.88
0007439;PANEL DE SEÑALIZACION TRAFICO DE PELIGRO Nº 7 (OBRAS);2.4;2.64;2.88
